#,SCG Bibtex,Type,Title,First Author,Second Author,Third Author,Fourth Author,Fifth Author,Sixth Author,Seven Author,Eighth Author,Nineth Author,Tenth Author,Eleventh Author,Twelveth Author,Year,Venue
175,Vida03a,Paper,Visualization for Software Risk Assessments,"Vidal, J.","Kuipers, T.",,,,,,,,,,,2003,VISSOFT
176,Rill03b,Paper,MetaViz Issues in Software Visualizing Beyond 3D,"Rilling, J.","Wang, J.","Mudur, S.",,,,,,,,,,2003,VISSOFT
177,Davi03a,Paper,KScope: A Modularized Tool for 3D Visualization of Object-Oriented Programs,"Davis, T.A.","Pestka, K.","Kaplan, A",,,,,,,,,,2003,VISSOFT
178,Brit03b,Paper,Self-Organizing Maps Applied in Visualising Large Software Collections,"Brittle, J.","Boldyreff, C.",,,,,,,,,,,2003,VISSOFT
179,Char03a,Paper,The end of the line for Software Visualisation?,"Charters, S.M.","Thomas, N.","Munro, M.",,,,,,,,,,2003,VISSOFT
180,Male03a,Paper,CFB: A Call For Benchmarks - for Software Visualization ,"Maletic, J.I.","Marcus, A.",,,,,,,,,,,2003,VISSOFT
181,Erbe05a,Paper,SAB - The Software Architecture Browser,"Erben, N.","Lohr, K.-P.",,,,,,,,,,,2005,VISSOFT
182,Shar05a,Paper,Interactive Exploration of UML Sequence Diagrams ,"Sharp, R.","Rountev, A.",,,,,,,,,,,2005,VISSOFT
183,Andr05a,Paper,Evaluating UML Class Diagram Layout based on Architectural Importance,"Andriyevska, O.","Dragan, N.","Simoes, B.","Maletic, J.I.",,,,,,,,,2005,VISSOFT
184,Term05a,Paper,Visual Exploration of Combined Architectural and Metric Information,"Termeer, M. ","Lange, C.F.J.","Telea, A. ","Chaudron, M.R.V.",,,,,,,,,2005,VISSOFT
185,Holt05a,Paper,Visual Realism for the Visualization of Software Metrics,"Holten, D.","Vliegen, R.","van Wijk, J.J.",,,,,,,,,,2005,VISSOFT
186,Duca05a,Paper,Multi-level Method Understanding Using Microprints ,"Ducasse, S.","Lanza, M.","Robbes, R.",,,,,,,,,,2005,VISSOFT
187,Mesn05a,Paper,White Coats: Web-Visualization of Evolving Software in 3D,"Mesnage, C.","Lanza, M.",,,,,,,,,,,2005,VISSOFT
188,Damb05a,Paper,Fractal Figures: Visualizing Development Effort for CVS Entities ,"D'Ambros, M.","Lanza, M.","Gall, H.",,,,,,,,,,2005,VISSOFT
189,Tele05a,Paper,Interactive Visual Mechanisms for Exploring Source Code Evolution,"Telea, A.","Voinea, L.",,,,,,,,,,,2005,VISSOFT
190,Reis05b,Paper,The Paradox of Software Visualization,"Reiss, S.P.",,,,,,,,,,,,2005,VISSOFT
191,Scha05a,Paper,Towards More Flexibility in Software Visualization Tools,"Schafer, T.","Mezini, M.",,,,,,,,,,,2005,VISSOFT
192,Cox05b,Paper,User Perspectives on a Visual Aid to Program Comprehension ,"Cox, A.","Fisher, M.","Muzzerall, J.",,,,,,,,,,2005,VISSOFT
193,Gall05a,Paper,A Framework for Software Architecture Visualisation Assessment ,"Gallagher, K.","Hatch, A.","Munro, M.",,,,,,,,,,2005,VISSOFT
194,Falk05a,Paper,The Dominance Tree in Visualizing Software Dependencies,"Falke, R.","Klein, R.","Koschke, R.","Quante, J.",,,,,,,,,2005,VISSOFT
195,Balz05b,Paper,Exploring Relations within Software Systems Using Treemap Enhanced Hierarchical Graphs,"Balzer, M. ","Deussen, O.",,,,,,,,,,,2005,VISSOFT
196,Lung05a,Paper,Interactive Exploration of Semantic Clusters,"Lungu, M.","Kuhn, A.","Girba, T.","Lanza, M.",,,,,,,,,2005,VISSOFT
197,Xinr05a,Paper,Support for Static Concept Location with sv3D,Xinrong Xie,"Poshyvanyk, D.","Marcus, A.",,,,,,,,,,2005,VISSOFT
198,Smit05a,Paper,Identifying Structural Features of Java Programs by Analysing the Interaction of Classes at Runtime,"Smith, M.P.","Munro, M.",,,,,,,,,,,2005,VISSOFT
199,Gree05a,Paper,Visualizing Feature Interaction in 3-D,"Greevy, O.","Lanza, M.","Wysseier, C.",,,,,,,,,,2005,VISSOFT
200,Clea05a,Demo,A Combined Software Reconnaissance & Static Analysis Eclipse Visualisation Plug-in ,"Cleary, B. ","Le Gear, A.","Exton, C.","Buckley, J.",,,,,,,,,2005,VISSOFT
201,Rill05a,Demo,Applying Code Analysis and 3D Design Pattern Grouping to Facilitate Program Comprehension,"Rilling, J.","Nguyen, V.-L.",,,,,,,,,,,2005,VISSOFT
202,Wilh05a,Demo,Dependency Viewer - A Tool for Visualizing Package Design Quality Metrics ,"Wilhelm, M.","Diehl, S.",,,,,,,,,,,2005,VISSOFT
203,Burc05b,Demo,EPOSee - A Tool For Visualizing Software Evolution,"Burch, M.","Diehl, S.","Weissgerber, P.",,,,,,,,,,2005,VISSOFT
204,Kien07a,Paper,Requirements of Software Visualization Tools: A Literature Survey,"Kienle, H.M.","Muller, H.A.",,,,,,,,,,,2007,VISSOFT
205,Rill07a,Paper,Software Visualization - A Process Perspective,"Rilling, J.","Meng, W.J.",Fuzhi Chen,"Charland, P.",,,,,,,,,2007,VISSOFT
206,Parn07a,Paper,Design Guidelines for Ambient Software Visualization in the Workplace,"Parnin, C.","Gorg, C.",,,,,,,,,,,2007,VISSOFT
207,Sens07a,Paper,Visualizing Object Oriented Software: Towards a Point of Reference for Developing Tools for Industry ,"Sensalire, M.","Ogao, P.",,,,,,,,,,,2007,VISSOFT
208,More07a,Paper,Visualizing Dynamic Memory Allocations,"Moreta, S.","Telea, A.",,,,,,,,,,,2007,VISSOFT
209,Deel07a,Paper,Visualization of Dynamic Program Aspects,"Deelen, P.","van Ham, F.",Cornells Huizing,"van de Wetering, H.",,,,,,,,,2007,VISSOFT
210,Holt07a,Paper,Trace Visualization Using Hierarchical Edge Bundles and Massive Sequence Views,"Holten, D.","Cornelissen, B.","van Wijk, J.J.",,,,,,,,,,2007,VISSOFT
211,Cosm07a,Paper,Distributable Features View: Visualizing the Structural Characteristics of Distributed Software Systems ,"Cosma, D.C.","Marinescu, R.",,,,,,,,,,,2007,VISSOFT
212,Bohn07a,Paper,Facilitating Exploration of Unfamiliar Source Code by Providing 21/2D Visualizations of Dynamic Call Graphs,"Bohnet, J.","Dollner, J.",,,,,,,,,,,2007,VISSOFT
213,Lien07a,Paper,Rapid Prototyping of Visualizations using Mondrian,"Lienhard, A.","Kuhn, A.","Greevy, O.",,,,,,,,,,2007,VISSOFT
214,Bocc07a,Paper,CocoViz: Towards Cognitive Software Visualizations,"Boccuzzo, S.","Gall, H.",,,,,,,,,,,2007,VISSOFT
215,Kagd07a,Paper,Onion Graphs for Focus+Context Views of UML Class Diagrams,"Kagdi, H.","Maletic, J.I.",,,,,,,,,,,2007,VISSOFT
216,Padd07a,Paper,Visualization Patterns: A Context-Sensitive Tool to Evaluate Visualization Techniques ,"Padda, H.","Seffah, A.","Mudur, S.",,,,,,,,,,2007,VISSOFT
217,Wett07a,Paper,Visualizing Software Systems as Cities,"Wettel, R.","Lanza, M.",,,,,,,,,,,2007,VISSOFT
218,Holm07a,Paper,Task-specific source code dependency investigation,"Holmes, R.","Walker, R.J.",,,,,,,,,,,2007,VISSOFT
219,Eick07a,Paper,Software Visualization in the Context of Service-Oriented Architectures,"Eicker, S.","Spies, T.","Kahl, C.",,,,,,,,,,2007,VISSOFT
220,Damb07a,Paper,"""A Bug's Life"" Visualizing a Bug Database","D'Ambros, M.","Lanza, M.","Pinzger, M.",,,,,,,,,,2007,VISSOFT
221,Sawa07a,Paper,DiffArchViz: A Tool to Visualize Correspondence Between Multiple Representations of a Software Architecture ,"Sawant, A.P.",,,,,,,,,,,,2007,VISSOFT
222,Hind07a,Paper,YARN: Animating Software Evolution,"Hindle, A.",Zhen Ming Jiang,"Koleilat, W.","Godfrey, M.W.","Holt, R.C.",,,,,,,,2007,VISSOFT
223,Ripl07a,Paper,A Visualization for Software Project Awareness and Evolution ,"Ripley, R.M.","Sarma, A.","van der Hoek, Andre",,,,,,,,,,2007,VISSOFT
224,Bohn07b,Paper,Evolutional Insights from UML and Source Code Versions using Information Visualization and Visual Analysis ,"Bohner, S.A.","Gracanin, D.","Henry, T.","Matkovic, K.",,,,,,,,,2007,VISSOFT
225,Roth07a,Demo,Feature-centric Environment,"Rothlisberger, D.","Greevy, O.","Lienhard, A.",,,,,,,,,,2007,VISSOFT
226,Hamo07a,Demo,Effective Exploration and Visualization of Large Execution Traces,"Hamou-Lhadj, A.",,,,,,,,,,,,2007,VISSOFT
227,Sawa07b,Demo,SoftArchViz: A Software Architecture Visualization Tool,"Sawant, A.P.","Bali, N.",,,,,,,,,,,2007,VISSOFT
228,Voin07a,Demo,Visualizing Debugging Activity in Source Code Repositories,"Voinea, L.","Telea, A.",,,,,,,,,,,2007,VISSOFT
229,Kien07b,Challenge,Dependencies Analysis of Azureus with Rigi: Tool Demo Challenge,"Kienle, H.M.","Muller, H.A.","Martin, J.",,,,,,,,,,2007,VISSOFT
230,Bohn07c,Challenge,CGA Call Graph Analyzer - Locating and Understanding Functionality within the Gnu Compiler Collection's Million Lines of Code ,"Bohnet, J.","Dollner, J.",,,,,,,,,,,2007,VISSOFT
231,Lang07a,Challenge,Visual Analysis of Azureus using VERSO,"Langelier, G.","Dhambri, K.",,,,,,,,,,,2007,VISSOFT
232,Park09a,Full Paper,Beyond pretty pictures: Examining the benefits of code visualization for Open Source newcomers,Yunrim Park,"Jensen, C.",,,,,,,,,,,2009,VISSOFT
233,Shar09a,Full Paper,The effect of layout on the comprehension of UML class diagrams: A controlled experiment,"Sharif, B.","Maletic, J.I.",,,,,,,,,,,2009,VISSOFT
234,Sens09a,Full Paper,Evaluation of software visualization tools: Lessons learned,"Sensalire, M.","Ogao, P.","Telea, A.",,,,,,,,,,2009,VISSOFT
235,Cott09a,Short paper,Compare and contrast: Visual exploration of source code examples ,"Cottrell, R.","Goyette, B.","Holmes, R.","Walker, R.J.","Denzinger, J.",,,,,,,,2009,VISSOFT
236,More09a,Short paper,Visualizing Calling Context profiles with Ring Charts ,"Moret, P.","Binder, W.","Ansaloni, D.","Villazon, A.",,,,,,,,,2009,VISSOFT
237,Oliv09a,Short paper,Visualization of domain-specific programs' behavior,"Oliveira, N.","Pereira, M.J.V.","Henriques, P.R.","da Cruz, D.",,,,,,,,,2009,VISSOFT
238,Hass09a,Short paper,Generating visualization-based analysis scenarios from maintenance task descriptions,"Hassaine, S.","Dhambri, K. ","Sahraoui, H.","Poulin, P.",,,,,,,,,2009,VISSOFT
239,Voig09a,Demo,Enhancing structural views of software systems by dynamic information ,"Voigt, S.","Bohnet, J.","Dollner, J.",,,,,,,,,,2009,VISSOFT
240,Mont09a,Demo,Sv3D meets Eclipse,"Montano, D.","Aponte, J.","Marcus, A.",,,,,,,,,,2009,VISSOFT
241,Bohn09a,Full Paper,Visualizing massively pruned execution traces to facilitate trace exploration,"Bohnet, J.","Koeleman, M.","Dollner, J.",,,,,,,,,,2009,VISSOFT
242,Tele09a,Full Paper,Case study: Visual analytics in software product assessments,"Telea, A.","Voinea, L.",,,,,,,,,,,2009,VISSOFT
243,Reis09a,Full Paper,Visualizing the Java heap to detect memory problems ,"Reiss, S.P.",,,,,,,,,,,,2009,VISSOFT
244,Tele09b,Full Paper,Extraction and visualization of call dependencies for large C/C++ code bases: A comparative study,"Telea, A.","Hoogendorp, H.","Ersoy, O.","Reniers, D.",,,,,,,,,2009,VISSOFT
245,Erde11a,Paper,E-Quality: A graph based object oriented software quality visualization tool,"Erdemir, U.","Tekin, U.","Buzluca, F.",,,,,,,,,,2011,VISSOFT
246,Neu11a,Paper,Telling stories about GNOME with Complicity,"Neu, S.","Lanza, M.","Hattori, L.","D'Ambros, M.",,,,,,,,,2011,VISSOFT
247,Imro11a,Paper,Abstract visualization of runtime memory behavior,"Choudhury, A.N.M.I.","Rosen, P.",,,,,,,,,,,2011,VISSOFT
248,Case11a,Paper,3D Hierarchical Edge bundles to visualize relations in a software city metaphor,"Caserta, P.","Zendra, O.","Bodenes, D.",,,,,,,,,,2011,VISSOFT
249,Deng11a,Paper,Constellation visualization: Augmenting program dependence with dynamic information,Fang Deng,"DiGiuseppe, N.","Jones, J.A.",,,,,,,,,,2011,VISSOFT
250,Beck11a,Paper,Visually exploring multi-dimensional code couplings,"Beck, F.","Petkov, R.","Diehl, S.",,,,,,,,,,2011,VISSOFT
251,Beck11b,Paper,A visual analysis and design tool for planning software reengineerings,"Beck, M.","Trumper, J. ","Dollner, J.",,,,,,,,,,2011,VISSOFT
252,Broe11a,Paper,Visual support for porting large code bases,"Broeksema, B.","Telea, A.",,,,,,,,,,,2011,VISSOFT
253,Wirt11a,Paper,A multi-level approach for visualization and exploration of reactive program behavior,"Wirth, C.","Prahofer, H.","Schatz, R.",,,,,,,,,,2011,VISSOFT
254,Lonn11a,Paper,Visualising concurrent programs with dynamic dependence graphs,"Lonnberg, J.","Ben-Ari, M.","Malmi, L.",,,,,,,,,,2011,VISSOFT
255,Waln11a,Paper,Follow that sketch: Lifecycles of diagrams and sketches in software development,"Walny, J.","Haber, J.","Dork, M.","Sillito, J.","Carpendale, S.",,,,,,,,2011,VISSOFT
256,Nova11a,Paper,An interactive differential and temporal approach to visually analyze software evolution,"Novais, R.L.","Lima, C.A.N.","de F Carneiro, G.","Paulo, R.M.S.","Mendonca, M.",,,,,,,,2011,VISSOFT
257,Reni11a,Paper,"Visual exploration of program structure, dependencies and metrics with SolidSX","Reniers, D.","Voinea, L.","Telea, A.",,,,,,,,,,2011,VISSOFT
258,Male11a,Paper,MosaiCode: Visualizing large scale software: A tool demonstration ,"Maletic, J.I.","Mosora, D.J.","Newman, C.D.","Collard, M.L.","Sutton, A.","Robinson, B.P.",,,,,,,2011,VISSOFT
259,Wijk13a,Keynote,Information visualization: Experiences and lessons learned,"Van Wijk, J.J.",,,,,,,,,,,,2013,VISSOFT
260,Shar13a,Paper,An empirical study assessing the effect of seeit 3D on comprehension,"Sharif, B.","Jetty, G.","Aponte, J.","Parra, E.",,,,,,,,,2013,VISSOFT
261,Wall13a,Paper,Synchrovis: 3D visualization of monitoring traces in the city metaphor for analyzing concurrency,"Waller, J.","Wulf, C.","Fittkau, F.","Dohring, P.","Hasselbring, W.",,,,,,,,2013,VISSOFT
262,Reis13a,Demo,The visualizations of code bubbles,"Reiss, S.P.","Tarvo, A.",,,,,,,,,,,2013,VISSOFT
263,Else13a,Paper,VisGi: Visualizing Git branches,"Elsen, S.",,,,,,,,,,,,2013,VISSOFT
264,Sand13a,Paper,Performance evolution blueprint: Understanding the impact of software evolution on performance,"Sandoval Alcocer, J.P.","Bergel, A.","Ducasse, S.","Denker, M.",,,,,,,,,2013,VISSOFT
265,Beno13a,Paper,Visualizing software dynamicities with heat maps ,"Benomar, O.","Sahraoui, H.","Poulin, P.",,,,,,,,,,2013,VISSOFT
266,Hanj13a,Paper,ClonEvol: Visualizing software evolution with code clones,"Hanjalic, A.",,,,,,,,,,,,2013,VISSOFT
267,Zhi13a,Paper,DEVis: A tool for visualizing software document evolution,Junji Zhi,"Ruhe, G.",,,,,,,,,,,2013,VISSOFT
268,Ansl13a,Paper,SourceVis: Collaborative software visualization for co-located environments ,"Anslow, C.","Marshall, S.","Noble, J.","Biddle, R.",,,,,,,,,2013,VISSOFT
269,Balo13a,Paper,CodeMetrpolis A minecraft based collaboration tool for developers,"Balogh, G.","Beszedes, A.",,,,,,,,,,,2013,VISSOFT
270,Guzm13a,Paper,Visualizing emotions in software development projects,"Guzman, E.",,,,,,,,,,,,2013,VISSOFT
271,Abut13a,Paper,Finding structures in multi-type code couplings with node-link and matrix visualizations,"Abuthawabeh, A.","Beck, F.","Zeckzer, D.","Diehl, S.",,,,,,,,,2013,VISSOFT
272,Mine13a,Paper,Visualizing the workflow of developers,"Minelli, R.","Lanza, M.",,,,,,,,,,,2013,VISSOFT
273,Shre13a,Paper,Visualizing time and geography of open source software with storygraph,"Shrestha, A.",Ying Zhu,"Miller, B.",,,,,,,,,,2013,VISSOFT
274,Brad13a,Paper,Visuocode: A software development environment that supports spatial navigation and composition,"Bradley, D.R. ","Hayes, I.J.",,,,,,,,,,,2013,VISSOFT
275,Karr13a,Paper,SYNCTRACE: Visual thread-interplay analysis,"Karran, B.","Trumper, J.","Dollner, J.",,,,,,,,,,2013,VISSOFT
276,Pauw13a,Paper,Visualizing jobs with shared resources in distributed environments,"De Pauw, W.","Wolf, J.","Balmin, A.",,,,,,,,,,2013,VISSOFT
277,Fitt13a,Paper,Live trace visualization for comprehending large software landscapes: The ExplorViz approach,"Fittkau, F.","Waller, J.","Wulf, C.","Hasselbring, W.",,,,,,,,,2013,VISSOFT
278,Pale13a,Paper,Visualizing constituent behaviors within executions ,"Palepu, V.K.","Jones, J.A.",,,,,,,,,,,2013,VISSOFT
279,Vero13a,Paper,Visualizing the allocation and death of objects ,"Veroy, R.L.","Ricci, N.P.","Guyer, S.Z.",,,,,,,,,,2013,VISSOFT
280,Gouv13a,Paper,Using HTML5 visualizations in software fault localization,"Gouveia, C.","Campos, J.","Abreu, R.",,,,,,,,,,2013,VISSOFT
281,Reis13b,Paper,Automatic categorization and visualization of lock behavior,"Reiss, S.P.","Tarvo, A.",,,,,,,,,,,2013,VISSOFT
282,Wehr13a,Paper,Lightweight software reverse engineering using augmented matrix visualizations,"Wehrwein, B.",,,,,,,,,,,,2013,VISSOFT
283,Sass13a,Paper,A closer look at bugs,"Dal Sasso, T.","Lanza, M.",,,,,,,,,,,2013,VISSOFT
284,Lope13a,Paper,Towards interactive visualization support for pairwise testing software product lines,"Lopez-Herrejon, R.E.","Egyed, A.",,,,,,,,,,,2013,VISSOFT
285,Scan13a,Paper,Software entities as bird flocks and fish schools,"Scanniello, G.","Erra, U.",,,,,,,,,,,2013,VISSOFT
286,Beck13a,Paper,Visual monitoring of numeric variables embedded in source code,"Beck, F.","Hollerich, F.","Diehl, S.","Weiskopf, D.",,,,,,,,,2013,VISSOFT
287,Home13a,Paper,A tile-based editor for a textual programming language ,"Homer, M.","Noble, J.",,,,,,,,,,,2013,VISSOFT
288,Serv13a,Paper,Chronos: Visualizing slices of source-code history,"Servant, F.","Jones, J.A.",,,,,,,,,,,2013,VISSOFT
289,Fabr13a,Paper,Design decisions in AspectMaps,"Fabry, J.","Bergel, A.",,,,,,,,,,,2013,VISSOFT
290,Abut13b,Paper,IMMV: An interactive multi-matrix visualization for program comprehension,"Abuthawabeh, A.","Zeckzer, D.",,,,,,,,,,,2013,VISSOFT
291,Stor14a,Keynote,Visualization for Software Analytics by Margaret-Anne (Peggy) Storey,"Storey, M.-A.",,,,,,,,,,,,2014,VISSOFT
292,Rens14a,Keynote,Visualization and Human Vision: A Tale of Two Systems,"Rensink, R.A.",,,,,,,,,,,,2014,VISSOFT
293,Home14a,Paper,Combining Tiled and Textual Views of Code,"Homer, M.","Noble, J.",,,,,,,,,,,2014,VISSOFT
294,Kule14a,Paper,Integrating Anomaly Diagnosis Techniques into Spreadsheet Environments ,"Kulesz, D.","Scheurich, J.","Beck, F.",,,,,,,,,,2014,VISSOFT
295,Jaas14a,Paper,Action-Based Visualization,"Jaaskelainen, A.","Jarvinen, H.M.","Virtanen, H.",,,,,,,,,,2014,VISSOFT
296,Blou14a,Paper,Slicing-Based Techniques for Visualizing Large Metamodels,"Blouin, A.","Moha, N.","Baudry, B.","Sahraoui, H.",,,,,,,,,2014,VISSOFT
297,Haug14a,Paper,Search Space Pruning Constraints Visualization,"Haugen, B.","Kurzak, J.",,,,,,,,,,,2014,VISSOFT
298,Nobl14a,Paper,Livecoding the SynthKit: Little Bits as an Embodied Programming Language ,"Noble, J.",,,,,,,,,,,,2014,VISSOFT
299,Berg14a,Paper,A Domain-Specific Language for Visualizing Software Dependencies as a Graph,"Bergel, A.","Maass, S.","Ducasse, S.","Girba, T.",,,,,,,,,2014,VISSOFT
300,Mart14a,Paper,Feature Relations Graphs: A Visualisation Paradigm for Feature Constraints in Software Product Lines,"Martinez, J.","Ziadi, T.","Mazo, R.","Bissyande, T.F.","Klein, J.","Le Traon, Y.",,,,,,,2014,VISSOFT
301,Seri14a,Paper,Validation of Software Visualization Tools: A Systematic Mapping Study ,"Seriai, A.","Benomar, O.","Cerat, B.","Sahraoui, H.",,,,,,,,,2014,VISSOFT
302,Scho14a,Paper,Using a Task-Oriented Framework to Characterize Visualization Approaches,"Schots, M.","Werner, C.",,,,,,,,,,,2014,VISSOFT
303,Tart14a,Demo,Mr. Clean: A Tool for Tracking and Comparing the Lineage of Scientific Visualization Code,"Tartari, G.","Tiede, L.","Holsbo, E.","Knudsen, K.","Raknes, I.A.","Fjukstad, B.","Mode, N.","Bjorndalen, J.M.","Lund, E.","Bongo, L.A.",,,2014,VISSOFT
304,Voin14a,Demo,Visual Clone Analysis with SolidSDD,"Voinea, L.","Telea, A.C.",,,,,,,,,,,2014,VISSOFT
305,Dani14a,Demo,Polyptychon: A Hierarchically-Constrained Classified Dependencies Visualization,"Daniel, D.T.","Wuchner, E.","Sokolov, K.","Stal, M."," Liggesmeyer, P.",,,,,,,,2014,VISSOFT
306,Bari14a,Paper,How Developers Visualize Compiler Messages: A Foundational Approach to Notification Construction,"Barik, T.","Lubick, K.","Christie, S.","Murphy-Hill, E.",,,,,,,,,2014,VISSOFT
307,Topr14a,Paper,Lightweight Structured Visualization of Assembler Control Flow Based on Regular Expressions ,"Toprak, S.","Wichmann, A.","Schupp, S.",,,,,,,,,,2014,VISSOFT
308,Roze14a,Paper,Templated Visualization of Object State with Vebugger,"Rozenberg, D.","Beschastnikh, I.",,,,,,,,,,,2014,VISSOFT
309,Reis14a,Paper,The Challenge of Helping the Programmer during Debugging ,"Reiss, S.P.",,,,,,,,,,,,2014,VISSOFT
310,Ens14a,Paper,ChronoTwigger: A Visual Analytics Tool for Understanding Source and Test Co-evolution,"Ens, B.","Rea, D.","Shpaner, R.","Hemmati, H.","Young, J.E.","Irani, P.",,,,,,,2014,VISSOFT
311,Kula14a,Paper,Visualizing the Evolution of Systems and Their Library Dependencies,"Kula, R.G.","De Roover, C.","German, D.","Ishio, T.","Inoue, K.",,,,,,,,2014,VISSOFT
312,Rufi14a,Paper,AniMatrix: A Matrix-Based Visualization of Software Evolution,"Rufiange, S.","Melancon, G.",,,,,,,,,,,2014,VISSOFT
313,Mine14a,Paper,Visualizing Developer Interactions,"Minelli, R.","Mocci, A.","Lanza, M.","Baracchi, L.",,,,,,,,,2014,VISSOFT
314,Pare14a,Paper,Information Visualization for Agile Software Development ,"Paredes, J.","Anslow, C.","Maurer, F.",,,,,,,,,,2014,VISSOFT
315,Guzm14a,Paper,FAVe: Visualizing User Feedback for Software Evolution ,"Guzman, E.","Bhuvanagiri, P.","Bruegge, B.",,,,,,,,,,2014,VISSOFT
316,Girb15b,Keynote,Pervasive software visualizations,"Girba, T.","Chis, A.",,,,,,,,,,,2015,VISSOFT
317,Hess15a,Paper,Stable Voronoi-based visualizations for software quality monitoring,"van Hees, R.","Hage, J.",,,,,,,,,,,2015,VISSOFT
318,Khan15a,Paper,Visual analytics of software structure and metrics,"Khan, T.","Barthel, H.","Ebert, A.","Liggesmeyer, P.",,,,,,,,,2015,VISSOFT
319,Schn15a,Paper,Vestige: A visualization framework for engineering geometry-related software,"Schneider, T.","Zulian, P.","Azadmanesh, M.R.","Krause, R.","Hauswirth, M.",,,,,,,,2015,VISSOFT
320,Fitt15a,Paper,Hierarchical software landscape visualization for system comprehension: A controlled experiment,"Fittkau, F.","Krause, A. ","Hasselbring, W.",,,,,,,,,,2015,VISSOFT
321,Basi15a,Paper,A survey on goal-oriented visualization of clone data,"Basit, H.A.","Hammad, M.","Koschke, R.",,,,,,,,,,2015,VISSOFT
322,Gree15a,Paper,Interactive tag cloud visualization of software version control repositories,"Greene, G.J.","Fischer, B.",,,,,,,,,,,2015,VISSOFT
323,Scar15a,Paper,Visualising software as a particle system,"Scarle, S.","Walkinshaw, N.",,,,,,,,,,,2015,VISSOFT
324,Urli15a,Paper,A visual support for decomposing complex feature models,"Urli, S.","Bergel, A. ","Blay-Fornarino, M.","Collet, P.","Mosser, S.",,,,,,,,2015,VISSOFT
325,Pale15a,Paper,Revealing runtime features and constituent behaviors within software,"Palepu, V.K.","Jones, J.A.",,,,,,,,,,,2015,VISSOFT
326,Hawe15a,Paper,CodeSurveyor: Mapping large-scale software to aid in code comprehension,"Hawes, N.","Marshall, S.","Anslow, C.",,,,,,,,,,2015,VISSOFT
327,Dals15a,Paper,"Blended, not stirred: Multi-concern visualization of large software systems","Dal Sasso, T.","Minelli, R. ","Mocci, A.","Lanza, M.",,,,,,,,,2015,VISSOFT
328,Burc15a,Paper,Visualizing work processes in software engineering with developer rivers,"Burch, M.","Munz, T.","Beck, F.","Weiskopf, D.",,,,,,,,,2015,VISSOFT
329,Fitt15b,NIER,Research perspective on supporting software engineering via physical 3D models,"Fittkau, F.","Koppenhagen, E.","Hasselbring, W.",,,,,,,,,,2015,VISSOFT
330,Fitt15c,NIER,Exploring software cities in virtual reality,"Fittkau, F.","Krause, A.","Hasselbring, W.",,,,,,,,,,2015,VISSOFT
331,Camp15a,NIER,From robots to humans: Visualizations for robot sensor data,"Campusano, M. ","Fabry, J.",,,,,,,,,,,2015,VISSOFT
332,Petr15a,NIER,Visualizing interactive and shared debugging sessions,"Petrillo, F.","Lacerda, G.","Pimenta, M.","Freitas, C.",,,,,,,,,2015,VISSOFT
333,Kube15a,NIER,On understanding how developers use the Spotter search tool,"Kubelka, J.","Bergel, A.","Chis, A.","Girba, T.","Reichhart, S.","Robbes, R.","Syrel, A.",,,,,,2015,VISSOFT
334,Matt15a,NIER,Unified model for software engineering data,"Mattila, A.-L.","Luoto, A.","Terho, H.","Hylli, O.","Sievi-Korte, O.","Systa, K.",,,,,,,2015,VISSOFT
335,Saie15a,NIER,Visualization based API usage patterns refining,"Saied, M.A.","Benomar, O.","Sahraoui, H.",,,,,,,,,,2015,VISSOFT
336,Cott15a,NIER,Pixel-oriented techniques for visualizing next-generation HPC systems,"Cottam, J.","Martin, B.","Dalessandro, L.","Lumsdaine, A.",,,,,,,,,2015,VISSOFT
337,Saka15a,NIER,Extracting a unified directory tree to compare similar software products,"Sakaguchi, Y. ","Ishio, T.","Kanda, T.","Inoue, K.",,,,,,,,,2015,VISSOFT
338,Geor15a,Demo,Kayrebt: An activity diagram extraction and visualization toolset designed for the Linux codebase,"Georget, L.","Tronel, F.","Tong, V.V.T.",,,,,,,,,,2015,VISSOFT
339,Abut15a,Demo,SMNLV: A small-multiples node-link visualization supporting software comprehension by displaying multiple relationships in software structure,"Abuthawabeh, A.","Zeckzer, D.",,,,,,,,,,,2015,VISSOFT
340,Pape15a,Demo,Polyhedral user mapping and assistant visualizer tool for the r-stream auto-parallelizing compiler,"Papenhausen, E.",Bing Wang,"Langston, M.H.","Baskaran, M.","Henretty, T.","Izubuchi, T.","Johnson, A. ",Chulwoo Jung,Meifeng Lin,"Meister, B.","Mueller, K.","Lethin, R.",2015,VISSOFT
341,Moln15a,Demo,Live visualization of GUI application code coverage with GUITracer,"Molnar, A.-J.",,,,,,,,,,,,2015,VISSOFT
342,Sant15a,Demo,OrionPlanning: Improving modularization and checking consistency on software architecture,"Santos, G.","Anquetil, N. ","Etien, A.","Ducasse, S.","Tulio Valente, M.",,,,,,,,2015,VISSOFT
343,Meri15b,Demo,Explora: A visualisation tool for metric analysis of software corpora,"Merino, L.","Lungu, M.","Nierstrasz, O.",,,,,,,,,,2015,VISSOFT
344,Kout15a,Demo,Advancing data race investigation and classification through visualization,"Koutsopoulos, N.","Northover, M.","Felden, T.","Wittiger, M.",,,,,,,,,2015,VISSOFT
