#,SCG Bibtex,Type,Title,First Author,Second Author,Third Author,Fourth Author,Fifth Author,Sixth Author,Seven Author,Eighth Author,Nineth Author,Tenth Author,Eleventh Author,Twelveth Author,Year,Venue
39,Deli05a,Paper,Towards understanding programs through wear-based filtering,"DeLine, R.","Khella, A.","Czerwinski, M.","Robertson, G.",,,,,,,,,2005,SOFTVIS
40,Stor05a,Paper,On the use of visualization to support awareness of human activities in software development: a survey and a framework,"Storey, M.-A.","Cubranc, D.","German, D.M.",,,,,,,,,,2005,SOFTVIS
41,Wend06a,Paper,The Clack graphical router: visualizing network software,"Wendlandt, D.","Casado, M.","Tarjan, P.","McKeown, N.",,,,,,,,,2006,SOFTVIS
42,Blum06a,Paper,Narrative algorithm visualization,"Blumenkrants, M.","Starovisky, H.","Shamir, A.",,,,,,,,,,2006,SOFTVIS
43,Jain06a,Paper,Experimental evaluation of animated-verifying object viewers for Java,"Jain, J.","Cross,II, C.H.","Hendrix, T.D.","Barowski, L.A.",,,,,,,,,2006,SOFTVIS
44,Pauw06a,Paper,Execution patterns for visualizing web services,"De Pauw, W..","Krasikov, S.","Morar, J.F.",,,,,,,,,,2006,SOFTVIS
45,Gree06a,Paper,Visualizing live software systems in 3D,"Greevy, O.","Lanza, M.","Wysseier, C.",,,,,,,,,,2006,SOFTVIS
46,Deme06a,Paper,A data-driven graphical toolkit for software visualization,"Demetrescu, C.","Finocchi, I.",,,,,,,,,,,2006,SOFTVIS
47,Gauv06a,Paper,"Transparency, holophrasting, and automatic layout applied to control structures for visual dataflow programming languages","Gauvin, S.","Banyasad, O.",,,,,,,,,,,2006,SOFTVIS
48,Kara06a,Paper,Taxonomy of algorithm animation languages,"Karavirta, V.","Korhonen, A.","Malmi, L.",,,,,,,,,,2006,SOFTVIS
49,Alsp06a,Paper,Using social agents to visualize software scenarios,"Alspaugh, T.A.","Tomlinson, B.","Baumer, E.",,,,,,,,,,2006,SOFTVIS
50,Bohn06a,Paper,Visual exploration of function call graphs for feature location in complex software systems,"Bohnet, J.","Dollner, J.",,,,,,,,,,,2006,SOFTVIS
51,Byel06a,Paper,Visualization of areas of interest in software architecture diagrams,"Byelas, H.","Telea, A.",,,,,,,,,,,2006,SOFTVIS
52,Voin06b,Paper,Multiscale and multivariate visualizations of software evolution,"Voinea, L.","Telea, A.",,,,,,,,,,,2006,SOFTVIS
53,Reis06a,Paper,Visualizing program execution using user abstractions,"Reiss, S.P.",,,,,,,,,,,,2006,SOFTVIS
54,Meye06a,Paper,Mondrian: an agile information visualization framework,"Meyer, M.","Girba, T.","Lungu, M.",,,,,,,,,,2006,SOFTVIS
55,Fron06a,Challenge,3D visualisation of code structures in Java software systems,"Fronk, A.","Bruckhoff, A.","Kern, M.",,,,,,,,,,2006,SOFTVIS
56,Voin06a,Challenge,How do changes in buggy Mozilla files propagate?,"Voinea, L.","Telea, A.",,,,,,,,,,,2006,SOFTVIS
57,Hosk06a,Poster,A tool for visualizing schemas for semistructured data,"Hosking, J.","Khoussainova, N.","Dobbie, G.",,,,,,,,,,2006,SOFTVIS
58,Tani06a,Poster,A transparent interface to state-space search programs,"Tanimoto, S.L.","Levialdi, S.",,,,,,,,,,,2006,SOFTVIS
59,Balo06a,Poster,A visualization software for the network simplex algorithm,"Baloukas, T.","Paparrizos, K.",,,,,,,,,,,2006,SOFTVIS
60,Hund06a,Poster,Adding procedures and pointers to the ALVIS algorithm visualization software: a preliminary design,"Hundhausen, C.D.","Brown, B.L.","Farley, S.",,,,,,,,,,2006,SOFTVIS
61,Liu06a,Poster,Animation of control flow for low-level debugging,"Liu, H.","Vainstein, F.",,,,,,,,,,,2006,SOFTVIS
62,Sieb06a,Poster,Drawing activity diagrams,"Siebenhaller, M.","Kaufmann, M.",,,,,,,,,,,2006,SOFTVIS
63,Ansl06a,Poster,Evaluating X3D for use in software visualization,"Anslow, C.","Marshall, S.","Noble, J.","Biddle, R.",,,,,,,,,2006,SOFTVIS
64,Wolf06a,Poster,Evolutionary layout of UML class diagrams,"Wolff v. Gudenberg, J.","Niederle, A.","Ebner, M.","Eichelberger, H.",,,,,,,,,2006,SOFTVIS
65,Juck06b,Poster,Evolutionary layout: preserving the mental map during the development of class models,"Jucknath-John, S.","Graf, D.","Taentzer, G.",,,,,,,,,,2006,SOFTVIS
66,Juck06a,Poster,Icon graphs: visualizing the evolution of large class models,"Jucknath-John, S.","Graf, D.",,,,,,,,,,,2006,SOFTVIS
67,Paze06a,Poster,Intentional MPI programming in a visual development environment,"Pazel, D.P.","Tibbitts, T.R.",,,,,,,,,,,2006,SOFTVIS
68,Parn06a,Poster,Lightweight visualizations for inspecting code smells,"Parnin, C.","Gorg, C.",,,,,,,,,,,2006,SOFTVIS
69,Saja06a,Poster,Metaphor-based animation of OO programs,"Sajaniemi, J.","Byckling, P.","Gerdt, P.",,,,,,,,,,2006,SOFTVIS
70,Kerr06a,Poster,Novel algorithm explanation techniques for improving algorithm teaching,"Kerren, A.","Mueldner, T.","Shakshuki, E.",,,,,,,,,,2006,SOFTVIS
71,Piet06a,Poster,Semantic web data visualization with graph style sheets,"Pietriga, E.",,,,,,,,,,,,2006,SOFTVIS
72,Lung06a,Poster,Softwarenaut: cutting edge visualization,"Lungu, M.","Lanza, M.",,,,,,,,,,,2006,SOFTVIS
73,Reed06a,Poster,The effect of comparison cueing and exchange motion on comprehension of program visualizations,"Reed, B.","Rhodes, P.","Kraemer, E.","Davis, E.T.","Hailston, K.",,,,,,,,2006,SOFTVIS
74,Rhod06a,Poster,The importance of interactive questioning techniques in the comprehension of algorithm animations,"Rhodes, P.","Kraemer, E.","Reed, B.",,,,,,,,,,2006,SOFTVIS
75,Kahn06a,Poster,Time travelling animated program executions,"Kahn, K.",,,,,,,,,,,,2006,SOFTVIS
76,Knod06a,Poster,Towards empirically validated software architecture visualization,"Knodel, J.","Muthig, D.","Naab, M.","Zeckzer, D.",,,,,,,,,2006,SOFTVIS
77,Elmq06a,Poster,TrustNeighborhoods in a nutshell,"Elmqvist, N.","Tsigas, P.",,,,,,,,,,,2006,SOFTVIS
78,Reic06a,Poster,Two-dimensional C++,"Reichardt, J.",,,,,,,,,,,,2006,SOFTVIS
79,Giff06a,Poster,Visual snippet editor,"Giffen, P.R.","Proulx, A.","Boo, J.",,,,,,,,,,2006,SOFTVIS
80,Sing06a,Poster,Visualized adaptive runtime subsystems,"Singer, J.","Kirkham, C.",,,,,,,,,,,2006,SOFTVIS
81,Lobo06a,Poster,WADEIn II: adaptive explanatory visualization for expressions evaluation,"Loboda, T.D.","Brusilovsky, P.",,,,,,,,,,,2006,SOFTVIS
82,Stas08a,Keynote,Visualization for information exploration and analysis: keynote presentation,"Stasko, J.",,,,,,,,,,,,2008,SOFTVIS
83,Xie08a,Paper,Assessing the benefits of synchronization-adorned sequence diagrams: two controlled experiments,"Xie, S.","Kraemer, E.","Stirewalt, R.E.","Dillon, L.K.","Fleming, S.D.",,,,,,,,2008,SOFTVIS
84,Shah08a,Paper,Visualization of exception handling constructs to support program understanding,"Shah, H.","Gorg, C.","Harrold, M.J.",,,,,,,,,,2008,SOFTVIS
85,Pich08a,Paper,Visual analysis of importance and grouping in software dependency graphs,"Pich, C.","Nachmanson, L.","Robertson, G.G.",,,,,,,,,,2008,SOFTVIS
86,Pard08a,Paper,Algorithm visualization using concrete and abstract shape graphs,"Parduhn, S.A.","Seidel, R.","Wilhelm, R.",,,,,,,,,,2008,SOFTVIS
87,Zeck08a,Paper,Analyzing the reliability of communication between software entities using a 3D visualization of clustered graphs,"Zeckzer, D.","Kalcklosch, R.","Schroder, L.","Hagen, H.","Klein, T.",,,,,,,,2008,SOFTVIS
88,Sund08a,Paper,"HDPV: interactive, faithful, in-vivo runtime state visualization for C/C++ and Java","Sundararaman, J.","Back, G.",,,,,,,,,,,2008,SOFTVIS
